countries,totalgames,total_wins,total_loses,total_x,friendly_wins,friendly_loses,friendly_x,no_friendly_wins,no_friendly_loses,no_friendly_x,totalgames_2015_2021,total_wins_2015_2021,total_loses_2015_2021,total_x_2015_2021,total_goals_scored,total_goals_scored_in,total_goals_scored_2015_2021,total_goals_scored_in_2015_2021,category
Panama,435,136,192,107,62,86,52,74,106,55,73,22,32,19,497,675,73,106,Team_with_Fifa_Rank( 1--89)

Slovakia,300,121,108,71,46,47,38,75,61,33,60,27,20,13,433,381,90,66,Team_with_Fifa_Rank( 1--89)

Manchukuo,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,Team_with_Fifa_Rank( 180--269)

Croatia,329,174,69,86,68,29,37,106,40,49,71,37,18,16,573,334,124,78,Team_with_Fifa_Rank( 1--89)

Lebanon,276,75,122,79,25,47,42,50,75,37,46,15,15,16,316,424,49,41,Team_with_Fifa_Rank( 180--269)

Puerto Rico,121,23,77,21,6,30,6,17,47,15,21,4,14,3,121,275,19,45,Team_with_Fifa_Rank( 180--269)

Afghanistan,112,31,57,24,7,15,5,24,42,19,38,13,18,7,117,225,48,68,Team_with_Fifa_Rank( 90--179)

Iran,502,275,99,128,100,53,53,175,46,75,66,44,8,14,932,403,135,36,Team_with_Fifa_Rank( 1--89)

Mongolia,75,19,48,8,1,10,2,18,38,6,31,9,18,4,96,217,52,69,Team_with_Fifa_Rank( 90--179)

Tanzania,535,147,234,154,70,108,76,77,126,78,63,14,27,22,601,808,52,78,Team_with_Fifa_Rank( 90--179)

Zimbabwe,459,190,143,126,70,66,50,120,77,76,60,25,12,23,626,521,89,54,Team_with_Fifa_Rank( 90--179)

Zambia,723,331,201,191,134,92,83,197,109,108,84,33,21,30,1130,743,101,81,Team_with_Fifa_Rank( 1--89)

Iceland,457,142,230,85,75,91,43,67,139,42,78,30,33,15,546,766,107,117,Team_with_Fifa_Rank( 1--89)

Albania,342,90,181,71,39,37,26,51,144,45,58,23,26,9,318,531,65,73,Team_with_Fifa_Rank( 1--89)

Montenegro,118,41,46,31,17,15,11,24,31,20,53,17,24,12,143,155,64,73,Team_with_Fifa_Rank( 1--89)

Madagascar,225,85,92,48,34,29,16,51,63,32,57,24,16,17,294,345,73,67,Team_with_Fifa_Rank( 90--179)

Mauritius,250,68,130,52,45,35,23,23,95,29,47,9,28,10,310,427,35,87,Team_with_Fifa_Rank( 90--179)

Réunion,81,27,41,13,18,41,11,9,0,2,0,0,0,0,135,191,0,0,Team_with_Fifa_Rank( 180--269)

Zanzibar,205,41,123,41,8,58,8,33,65,33,9,4,3,2,187,434,12,12,Team_with_Fifa_Rank( 180--269)

Djibouti,88,4,77,7,1,17,1,3,60,6,23,2,18,3,60,333,13,68,Team_with_Fifa_Rank( 90--179)

Ethiopia,366,134,152,80,52,38,26,82,114,54,48,16,16,16,514,537,67,64,Team_with_Fifa_Rank( 90--179)

DR Congo,466,183,156,127,57,63,53,126,93,74,70,28,20,22,703,579,106,79,Team_with_Fifa_Rank( 90--179)

